"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","b6","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","v1501.1","v1511","b6.1","b6_1","b13_1","b14","b15","e31","v1409","t122","v1601","v1602","v1611","v1621","v1631","v1641","v1511.1","v1501.2"
"2064",4584,"63",4,1,44,1,1,1,4,2,2,5,8,22,8602.5,4800,3,2,4560,4800,2900,2,NA,NA,3,NA,NA,1,349,1,27,2,2,2,2,2900,4800
"2065",4588,"63",4,2,52,1,1,1,4,2,4,4,4,16,14070,4800,3,2,4560,4800,2900,2,NA,NA,3,NA,NA,1,349,1,27,2,2,2,2,2900,4800
"2066",4588,"63",4,1,57,1,1,1,1,2,4,4,4,16,14070,4800,3,2,4560,4800,2900,2,NA,NA,3,2004,NA,1,349,1,27,2,2,2,2,2900,4800
"2067",4588,"63",4,1,34,1,1,1,4,1,4,4,5,16,14070,4800,3,2,4560,4800,2900,1,10,2010,1,2006,65,1,349,1,27,2,2,2,2,2900,4800
"2068",4588,"63",4,2,28,1,1,2,4,2,4,5,8,16,14070,4800,3,2,4560,4800,2900,2,NA,NA,3,NA,NA,1,349,1,27,2,2,2,2,2900,4800
"2069",4592,"63",5,1,38,1,1,NA,4,1,1,5,8,11,4740,4800,3,2,4560,4800,2900,1,3,2011,2,1992,63,1,349,1,27,2,2,2,2,2900,4800
"2070",4592,"63",5,2,37,1,1,NA,4,2,1,5,8,11,4740,4800,3,2,4560,4800,2900,2,NA,NA,3,NA,NA,1,349,1,27,2,2,2,2,2900,4800
"2071",4596,"63",5,1,60,1,0,1,4,2,4,4,2,10,5406,4800,3,2,4560,4800,2900,2,NA,NA,3,1991,NA,1,349,1,27,2,2,2,2,2900,4800
"2072",4596,"63",5,1,30,1,0,1,4,1,2,4,6,10,5406,4800,3,2,4560,4800,2900,1,4,2011,2,2009,62,1,349,1,27,2,2,2,2,2900,4800
"2073",4596,"63",5,2,56,1,1,1,4,2,4,1,0,10,5406,4800,3,2,4560,4800,2900,2,NA,NA,3,NA,NA,1,349,1,27,2,2,2,2,2900,4800
"2074",4596,"63",5,2,30,1,1,1,4,2,4,1,0,10,5406,4800,3,2,4560,4800,2900,2,NA,NA,3,NA,NA,1,349,1,27,2,2,2,2,2900,4800
"2075",4600,"63",4,2,60,1,1,1,4,2,4,2,0,20,2605,4800,3,2,4560,4800,2900,2,NA,NA,3,NA,NA,1,349,1,27,2,2,2,2,2900,4800
"2076",4600,"63",4,1,40,3,1,1,4,2,3,4,6,20,2605,4800,3,2,4560,4800,2900,2,NA,NA,3,2002,NA,1,349,1,27,2,2,2,2,2900,4800
"2077",4604,"63",6,2,58,1,1,1,4,2,3,1,0,15,5488.33333333333,4800,3,2,4560,4800,2900,2,NA,NA,3,NA,NA,1,349,1,27,2,2,2,2,2900,4800
"2078",4604,"63",6,2,30,1,1,1,4,2,2,5,7,15,5488.33333333333,4800,3,2,4560,4800,2900,2,NA,NA,3,NA,NA,1,349,1,27,2,2,2,2,2900,4800
"2079",4604,"63",6,1,31,1,1,1,4,2,2,5,7,15,5488.33333333333,4800,3,2,4560,4800,2900,2,NA,NA,3,NA,NA,1,349,1,27,2,2,2,2,2900,4800
"2080",4608,"63",2,1,45,2,1,1,4,2,2,4,3,5,11070,4800,3,2,4560,4800,2900,2,NA,NA,3,2005,NA,1,349,1,27,2,2,2,2,2900,4800
"2081",4612,"63",3,1,23,2,1,1,4,1,1,6,12,48,15350,4800,3,2,4560,4800,2900,1,7,2011,2,NA,65,1,349,1,27,2,2,2,2,2900,4800
"2082",4612,"63",3,2,47,1,1,1,4,2,4,1,NA,48,15350,4800,3,2,4560,4800,2900,2,NA,NA,NA,NA,NA,1,349,1,27,2,2,2,2,2900,4800
"2083",4612,"63",3,1,49,1,1,1,1,2,3,5,9,48,15350,4800,3,2,4560,4800,2900,2,NA,NA,NA,NA,NA,1,349,1,27,2,2,2,2,2900,4800
"2084",4616,"63",6,1,32,1,0,1,4,1,2,5,8,27,7750,4800,3,2,4560,4800,2900,1,10,2011,3,NA,32,1,349,1,27,2,2,2,2,2900,4800
"2085",4616,"63",6,1,59,1,1,1,4,2,3,4,4,27,7750,4800,3,2,4560,4800,2900,2,NA,NA,NA,NA,NA,1,349,1,27,2,2,2,2,2900,4800
"2086",4616,"63",6,2,58,1,0,1,4,2,4,2,NA,27,7750,4800,3,2,4560,4800,2900,2,NA,NA,NA,NA,NA,1,349,1,27,2,2,2,2,2900,4800
"2087",4616,"63",6,2,33,1,1,1,4,1,1,5,7,27,7750,4800,3,2,4560,4800,2900,1,10,2011,3,NA,32,1,349,1,27,2,2,2,2,2900,4800
"2088",4620,"63",7,1,37,1,1,1,4,1,1,1,0,22,4355.71428571429,4800,3,2,4560,4800,2900,1,10,2002,2,1989,66,1,349,1,27,2,2,2,2,2900,4800
"2089",4620,"63",7,1,57,1,1,1,4,2,2,1,0,22,4355.71428571429,4800,3,2,4560,4800,2900,2,NA,NA,NA,NA,NA,1,349,1,27,2,2,2,2,2900,4800
"2090",4620,"63",7,2,32,1,1,1,4,2,1,1,0,22,4355.71428571429,4800,3,2,4560,4800,2900,2,NA,NA,NA,NA,NA,1,349,1,27,2,2,2,2,2900,4800
"2091",4620,"63",7,2,58,1,1,1,4,2,2,1,0,22,4355.71428571429,4800,3,2,4560,4800,2900,2,NA,NA,NA,NA,NA,1,349,1,27,2,2,2,2,2900,4800
"2092",4624,"63",3,2,45,1,1,1,4,2,2,5,8,37,12573.3333333333,4800,3,2,4560,4800,2900,2,NA,NA,3,NA,NA,1,349,1,27,2,2,2,2,2900,4800
"2093",4624,"63",3,2,20,2,1,1,2,2,1,6,10.5,37,12573.3333333333,4800,3,2,4560,4800,2900,2,NA,NA,NA,NA,NA,1,349,1,27,2,2,2,2,2900,4800
"2094",4624,"63",3,1,45,1,1,1,4,2,2,5,8,37,12573.3333333333,4800,3,2,4560,4800,2900,2,NA,NA,3,2004,NA,1,349,1,27,2,2,2,2,2900,4800
"2095",4628,"63",6,1,31,1,1,1,4,2,3,4,5,11,12150,4800,3,2,4560,4800,2900,2,NA,NA,NA,NA,NA,1,349,1,27,2,2,2,2,2900,4800
"2096",4628,"63",6,1,55,1,1,1,4,1,4,2,NA,11,12150,4800,3,2,4560,4800,2900,1,8,2009,2,2007,65,1,349,1,27,2,2,2,2,2900,4800
"2097",4628,"63",6,2,29,1,1,1,4,2,3,2,NA,11,12150,4800,3,2,4560,4800,2900,2,NA,NA,NA,NA,NA,1,349,1,27,2,2,2,2,2900,4800
"2098",4628,"63",6,2,52,1,1,1,4,2,4,2,NA,11,12150,4800,3,2,4560,4800,2900,2,NA,NA,NA,NA,NA,1,349,1,27,2,2,2,2,2900,4800
"2099",4632,"63",4,1,19,2,1,1,4,1,2,5,9,16,13100,4800,3,2,4560,4800,2900,1,8,2010,1,2008,65,1,349,1,27,2,2,2,2,2900,4800
"2100",4632,"63",4,2,54,1,1,1,4,2,3,1,0,16,13100,4800,3,2,4560,4800,2900,2,NA,NA,NA,NA,NA,1,349,1,27,2,2,2,2,2900,4800
"2101",4632,"63",4,1,56,1,1,1,4,2,3,1,0,16,13100,4800,3,2,4560,4800,2900,2,NA,NA,NA,NA,NA,1,349,1,27,2,2,2,2,2900,4800
"2102",4636,"63",4,1,51,1,1,1,4,2,4,1,0,7,10530,4800,3,2,4365,4800,2940,2,NA,NA,3,NA,NA,38,275,2,NA,2,2,2,1,2940,4800
"2103",4636,"63",4,2,44,1,1,1,4,2,4,1,0,7,10530,4800,3,2,4365,4800,2940,2,NA,NA,3,NA,NA,38,275,2,NA,2,2,2,1,2940,4800
"2104",4636,"63",4,1,24,2,1,1,4,1,2,5,9,7,10530,4800,3,2,4365,4800,2940,1,8,2011,2,2008,65,38,275,2,NA,2,2,2,1,2940,4800
"2105",4636,"63",4,1,26,2,1,1,4,1,2,5,9,7,10530,4800,3,2,4365,4800,2940,1,8,2011,2,2008,65,38,275,2,NA,2,2,2,1,2940,4800
"2106",4640,"63",4,1,60,1,1,1,4,2,3,4,5,NA,8072.5,4800,3,2,4365,4800,2940,2,NA,NA,3,NA,NA,38,275,2,NA,2,2,2,1,2940,4800
"2107",4640,"63",4,1,31,2,1,1,4,1,1,4,6,NA,8072.5,4800,3,2,4365,4800,2940,1,8,2000,2,2000,65,38,275,2,NA,2,2,2,1,2940,4800
"2108",4640,"63",4,2,60,1,1,1,4,2,4,1,0,NA,8072.5,4800,3,2,4365,4800,2940,2,NA,NA,3,NA,NA,38,275,2,NA,2,2,2,1,2940,4800
"2109",4640,"63",4,1,34,2,1,1,4,1,1,5,8,NA,8072.5,4800,3,2,4365,4800,2940,1,12,2009,1,1998,63,38,275,2,NA,2,2,2,1,2940,4800
"2110",4644,"63",4,2,40,1,1,1,4,2,3,1,0,16.7999992370605,9427.5,4800,3,2,4365,4800,2940,2,NA,NA,3,NA,NA,38,275,2,NA,2,2,2,1,2940,4800
"2111",4644,"63",4,1,16,2,1,1,2,NA,1,5,8.5,16.7999992370605,9427.5,4800,3,2,4365,4800,2940,NA,NA,NA,NA,NA,NA,38,275,2,NA,2,2,2,1,2940,4800
"2112",4644,"63",4,1,42,1,1,1,4,2,3,1,0,16.7999992370605,9427.5,4800,3,2,4365,4800,2940,2,NA,NA,3,NA,NA,38,275,2,NA,2,2,2,1,2940,4800
"2113",4644,"63",4,1,18,2,1,1,2,NA,1,7,9.5,16.7999992370605,9427.5,4800,3,2,4365,4800,2940,NA,NA,NA,NA,NA,NA,38,275,2,NA,2,2,2,1,2940,4800
"2114",4648,"63",7,1,31,1,1,1,4,1,2,5,8,18,4645.71428571429,4800,3,2,4365,4800,2940,1,12,2010,1,2004,65,38,275,2,NA,2,2,2,1,2940,4800
"2115",4648,"63",7,2,42,1,1,1,4,2,2,5,8,18,4645.71428571429,4800,3,2,4365,4800,2940,2,NA,NA,NA,NA,NA,38,275,2,NA,2,2,2,1,2940,4800
"2116",4648,"63",7,1,17,NA,1,1,4,NA,1,6,9.5,18,4645.71428571429,4800,3,2,4365,4800,2940,NA,NA,NA,NA,NA,NA,38,275,2,NA,2,2,2,1,2940,4800
"2117",4648,"63",7,2,25,1,1,3,4,1,1,7,14,18,4645.71428571429,4800,3,2,4365,4800,2940,1,12,2008,1,2008,37,38,275,2,NA,2,2,2,1,2940,4800
"2118",4648,"63",7,1,40,1,1,1,4,2,1,4,3,18,4645.71428571429,4800,3,2,4365,4800,2940,2,NA,NA,NA,NA,NA,38,275,2,NA,2,2,2,1,2940,4800
"2119",4652,"63",4,2,37,1,0,1,4,1,2,4,5,12,16925,4800,3,2,4365,4800,2940,1,6,2011,2,1998,63,38,275,2,NA,2,2,2,1,2940,4800
"2120",4652,"63",4,1,39,1,1,1,4,1,2,4,4,12,16925,4800,3,2,4365,4800,2940,1,11,2011,1,1995,63,38,275,2,NA,2,2,2,1,2940,4800
"2121",4652,"63",4,1,16,NA,0,1,4,NA,1,5,7.5,12,16925,4800,3,2,4365,4800,2940,NA,NA,NA,NA,NA,NA,38,275,2,NA,2,2,2,1,2940,4800
"2122",4656,"63",6,1,42,1,1,1,4,1,2,1,NA,12,7476.66666666667,4800,3,2,4365,4800,2940,1,10,1992,2,1987,65,38,275,2,NA,2,2,2,1,2940,4800
"2123",4656,"63",6,1,19,2,1,1,4,NA,1,6,9.5,12,7476.66666666667,4800,3,2,4365,4800,2940,NA,NA,NA,NA,NA,NA,38,275,2,NA,2,2,2,1,2940,4800
"2124",4656,"63",6,2,16,NA,1,1,4,NA,2,4,4.5,12,7476.66666666667,4800,3,2,4365,4800,2940,NA,NA,NA,NA,NA,NA,38,275,2,NA,2,2,2,1,2940,4800
"2125",4656,"63",6,2,40,1,1,1,4,1,2,1,NA,12,7476.66666666667,4800,3,2,4365,4800,2940,1,10,1992,2,1992,65,38,275,2,NA,2,2,2,1,2940,4800
"2126",4660,"63",6,1,39,1,1,1,4,2,2,4,2,12,5198.33333333333,4800,3,2,4365,4800,2940,2,NA,NA,2,2008,NA,38,275,2,NA,2,2,2,1,2940,4800
"2127",4660,"63",6,2,36,1,1,1,4,1,2,4,5,12,5198.33333333333,4800,3,2,4365,4800,2940,1,8,2011,2,2009,63,38,275,2,NA,2,2,2,1,2940,4800
"2128",4664,"63",3,1,23,2,1,1,4,1,2,4,5,9,12046.6666666667,4800,3,2,4365,4800,2940,1,10,2011,1,2004,65,38,275,2,NA,2,2,2,1,2940,4800
"2129",4664,"63",3,2,46,1,1,1,4,1,2,4,5,9,12046.6666666667,4800,3,2,4365,4800,2940,1,10,2011,1,2001,65,38,275,2,NA,2,2,2,1,2940,4800
"2130",4664,"63",3,1,50,1,1,1,4,2,2,4,3,9,12046.6666666667,4800,3,2,4365,4800,2940,2,NA,NA,3,NA,NA,38,275,2,NA,2,2,2,1,2940,4800
"2131",4668,"63",6,1,28,1,1,1,4,1,3,4,5,NA,7488.33333333333,4800,3,2,4365,4800,2940,1,8,2000,2,2000,63,38,275,2,NA,2,2,2,1,2940,4800
"2132",4668,"63",6,2,48,1,1,1,4,2,4,2,0.5,NA,7488.33333333333,4800,3,2,4365,4800,2940,2,NA,NA,3,NA,NA,38,275,2,NA,2,2,2,1,2940,4800
"2133",4668,"63",6,1,57,1,1,1,4,1,4,2,0.5,NA,7488.33333333333,4800,3,2,4365,4800,2940,1,6,1997,2,1997,63,38,275,2,NA,2,2,2,1,2940,4800
"2134",4668,"63",6,2,27,1,1,1,4,1,3,4,5,NA,7488.33333333333,4800,3,2,4365,4800,2940,1,8,2000,2,2000,63,38,275,2,NA,2,2,2,1,2940,4800
"2135",4672,"63",6,2,35,1,0,1,4,1,3,2,0.5,NA,5635,4800,3,2,4365,4800,2940,1,6.5,2000,2,2000,65,38,275,2,NA,2,2,2,1,2940,4800
"2136",4672,"63",6,1,37,1,1,1,4,1,3,4,5,NA,5635,4800,3,2,4365,4800,2940,1,6.5,1998,2,1998,65,38,275,2,NA,2,2,2,1,2940,4800
"2137",4672,"63",6,2,60,1,0,1,4,2,4,1,0,NA,5635,4800,3,2,4365,4800,2940,2,NA,NA,NA,NA,NA,38,275,2,NA,2,2,2,1,2940,4800
"2138",4672,"63",6,1,60,1,1,1,4,2,4,1,0,NA,5635,4800,3,2,4365,4800,2940,2,NA,NA,NA,NA,NA,38,275,2,NA,2,2,2,1,2940,4800
"2139",4676,"63",3,2,17,2,1,1,4,NA,2,6,12.5,7.30000019073486,13816.6666666667,6400,3,1,346,6400,3700,NA,NA,NA,NA,NA,NA,16,258,1,20,2,2,2,2,3700,6400
"2140",4676,"63",3,2,47,1,1,1,1,NA,2,8,14,7.30000019073486,13816.6666666667,6400,3,1,346,6400,3700,NA,NA,NA,NA,NA,NA,16,258,1,20,2,2,2,2,3700,6400
"2141",4676,"63",3,1,48,1,1,1,1,NA,2,8,14,7.30000019073486,13816.6666666667,6400,3,1,346,6400,3700,NA,NA,NA,NA,NA,NA,16,258,1,20,2,2,2,2,3700,6400
"2142",4680,"63",5,1,30,1,1,1,4,1,2,5,8,NA,8010,6400,3,1,346,6400,3700,1,8,2011,2,2001,62,16,258,1,20,2,2,2,2,3700,6400
"2143",4680,"63",5,2,48,1,1,1,4,2,3,5,6,NA,8010,6400,3,1,346,6400,3700,2,NA,NA,NA,NA,NA,16,258,1,20,2,2,2,2,3700,6400
"2144",4680,"63",5,1,52,1,1,1,4,2,3,5,7,NA,8010,6400,3,1,346,6400,3700,2,NA,NA,NA,NA,NA,16,258,1,20,2,2,2,2,3700,6400
"2145",4680,"63",5,2,29,1,1,1,4,2,2,4,5,NA,8010,6400,3,1,346,6400,3700,2,NA,NA,NA,NA,NA,16,258,1,20,2,2,2,2,3700,6400
"2146",4684,"63",5,2,26,1,0,1,4,2,2,4,5,15,4440,6400,3,1,346,6400,3700,2,NA,NA,NA,NA,NA,16,258,1,20,2,2,2,2,3700,6400
"2147",4684,"63",5,1,55,1,0,1,4,2,3,4,5,15,4440,6400,3,1,346,6400,3700,2,NA,NA,NA,NA,NA,16,258,1,20,2,2,2,2,3700,6400
"2148",4684,"63",5,2,53,1,0,1,4,2,3,4,5,15,4440,6400,3,1,346,6400,3700,2,NA,NA,NA,NA,NA,16,258,1,20,2,2,2,2,3700,6400
"2149",4684,"63",5,1,31,1,0,1,4,1,2,5,7,15,4440,6400,3,1,346,6400,3700,1,3,2011,2,1995,63,16,258,1,20,2,2,2,2,3700,6400
"2150",4688,"63",4,1,41,1,1,2,4,1,2,4,NA,NA,5335,6400,3,1,346,6400,3700,1,4,2011,2,1991,61,16,258,1,20,2,2,2,2,3700,6400
"2151",4688,"63",4,1,17,2,1,1,2,NA,1,6,9.5,NA,5335,6400,3,1,346,6400,3700,NA,NA,NA,NA,NA,NA,16,258,1,20,2,2,2,2,3700,6400
"2152",4688,"63",4,2,42,1,1,1,4,2,4,1,NA,NA,5335,6400,3,1,346,6400,3700,2,NA,NA,NA,NA,NA,16,258,1,20,2,2,2,2,3700,6400
"2153",4692,"63",6,2,16,2,0,1,4,2,1,5,7.5,NA,3658.33333333333,6400,3,1,346,6400,3700,2,NA,NA,NA,NA,NA,16,258,1,20,2,2,2,2,3700,6400
"2154",4692,"63",6,1,18,2,0,1,4,2,1,5,7.5,NA,3658.33333333333,6400,3,1,346,6400,3700,2,NA,NA,NA,NA,NA,16,258,1,20,2,2,2,2,3700,6400
"2155",4692,"63",6,2,41,1,1,1,4,2,2,2,NA,NA,3658.33333333333,6400,3,1,346,6400,3700,2,NA,NA,NA,NA,NA,16,258,1,20,2,2,2,2,3700,6400
"2156",4692,"63",6,1,41,1,0,1,4,1,2,5,8,NA,3658.33333333333,6400,3,1,346,6400,3700,1,4,2011,2,1989,63,16,258,1,20,2,2,2,2,3700,6400
"2157",4696,"63",3,1,48,1,1,1,4,2,4,4,4,22,9966.66666666667,6400,3,1,346,6400,3700,2,NA,NA,2,1980,NA,16,258,1,20,2,2,2,2,3700,6400
"2158",4696,"63",3,2,21,2,1,1,4,1,1,5,7,22,9966.66666666667,6400,3,1,346,6400,3700,1,11,2009,1,2009,63,16,258,1,20,2,2,2,2,3700,6400
"2159",4696,"63",3,2,48,1,1,1,4,2,4,1,NA,22,9966.66666666667,6400,3,1,346,6400,3700,2,NA,NA,3,NA,NA,16,258,1,20,2,2,2,2,3700,6400
"2160",4700,"63",2,2,53,4,1,1,4,2,3,1,NA,14,9870,6400,3,1,346,6400,3700,2,NA,NA,NA,NA,NA,16,258,1,20,2,2,2,2,3700,6400
"2161",4700,"63",2,1,30,2,1,1,4,1,1,4,3,14,9870,6400,3,1,346,6400,3700,1,9,2011,2,1999,63,16,258,1,20,2,2,2,2,3700,6400
"2162",4704,"63",6,2,51,1,NA,1,4,2,4,2,NA,12.1000003814697,9948.33333333333,6400,3,1,346,6400,3700,2,NA,NA,NA,NA,NA,16,258,1,20,2,2,2,2,3700,6400
"2163",4704,"63",6,1,31,3,NA,1,4,1,3,4,6,12.1000003814697,9948.33333333333,6400,3,1,346,6400,3700,1,7,2005,2,2007,63,16,258,1,20,2,2,2,2,3700,6400
"2164",4704,"63",6,1,50,1,NA,1,4,2,4,5,8,12.1000003814697,9948.33333333333,6400,3,1,346,6400,3700,2,NA,NA,NA,NA,NA,16,258,1,20,2,2,2,2,3700,6400
"2165",4704,"63",6,1,28,1,NA,1,2,1,3,5,7,12.1000003814697,9948.33333333333,6400,3,1,346,6400,3700,1,7,2007,2,2009,63,16,258,1,20,2,2,2,2,3700,6400
"2166",4704,"63",6,2,25,1,NA,1,4,1,3,4,6,12.1000003814697,9948.33333333333,6400,3,1,346,6400,3700,1,7,2009,2,2009,63,16,258,1,20,2,2,2,2,3700,6400
"2167",4708,"63",5,1,44,1,1,1,4,2,1,4,5,20,8630,6400,3,1,346,6400,3700,2,NA,NA,3,1997,NA,16,258,1,20,2,2,2,2,3700,6400
"2168",4708,"63",5,1,23,2,1,1,4,1,1,5,8,20,8630,6400,3,1,346,6400,3700,1,11,2011,2,2009,66,16,258,1,20,2,2,2,2,3700,6400
"2169",4708,"63",5,2,42,1,1,1,4,2,1,4,5,20,8630,6400,3,1,346,6400,3700,2,NA,NA,3,NA,NA,16,258,1,20,2,2,2,2,3700,6400
"2170",4712,"63",5,1,44,1,1,1,4,1,3,4,5,23,7860,6400,3,1,346,6400,3700,1,2,2011,2,1991,63,16,258,1,20,2,2,2,2,3700,6400
"2171",4712,"63",5,2,43,1,1,1,4,2,3,1,0,23,7860,6400,3,1,346,6400,3700,2,NA,NA,NA,NA,NA,16,258,1,20,2,2,2,2,3700,6400
"2172",4712,"63",5,1,19,2,1,1,4,NA,2,7,8.5,23,7860,6400,3,1,346,6400,3700,NA,NA,NA,NA,NA,NA,16,258,1,20,2,2,2,2,3700,6400
"2173",4712,"63",5,1,17,2,1,1,4,NA,2,5,7.5,23,7860,6400,3,1,346,6400,3700,NA,NA,NA,NA,NA,NA,16,258,1,20,2,2,2,2,3700,6400
"2174",4716,"63",6,2,26,2,1,1,4,1,2,5,9,NA,9690,6400,3,1,6669,6400,4200,1,6,2007,1,2005,63,49,577,1,20,2,2,2,2,4200,6400
"2175",4716,"63",6,2,23,1,1,1,4,2,2,5,8,NA,9690,6400,3,1,6669,6400,4200,2,NA,NA,3,NA,NA,49,577,1,20,2,2,2,2,4200,6400
"2176",4716,"63",6,1,51,1,1,1,4,1,4,4,5,NA,9690,6400,3,1,6669,6400,4200,1,8,2008,2,2006,63,49,577,1,20,2,2,2,2,4200,6400
"2177",4716,"63",6,1,24,1,1,1,4,1,2,5,8,NA,9690,6400,3,1,6669,6400,4200,1,10,2009,1,2007,63,49,577,1,20,2,2,2,2,4200,6400
"2178",4716,"63",6,2,49,1,1,1,4,2,4,2,NA,NA,9690,6400,3,1,6669,6400,4200,2,NA,NA,3,NA,NA,49,577,1,20,2,2,2,2,4200,6400
"2179",4720,"63",5,1,48,1,1,1,1,2,3,5,8,NA,5800,6400,3,1,6669,6400,4200,2,NA,NA,NA,NA,NA,49,577,1,20,2,2,2,2,4200,6400
"2180",4720,"63",5,2,19,2,1,1,2,NA,2,7,8.5,NA,5800,6400,3,1,6669,6400,4200,NA,NA,NA,NA,NA,NA,49,577,1,20,2,2,2,2,4200,6400
"2181",4720,"63",5,2,47,1,1,1,4,2,3,4,3,NA,5800,6400,3,1,6669,6400,4200,2,NA,NA,NA,NA,NA,49,577,1,20,2,2,2,2,4200,6400
"2182",4720,"63",5,1,17,2,1,1,4,NA,2,5,7.5,NA,5800,6400,3,1,6669,6400,4200,NA,NA,NA,NA,NA,NA,49,577,1,20,2,2,2,2,4200,6400
"2183",4720,"63",5,2,22,2,1,1,2,NA,2,7,8.5,NA,5800,6400,3,1,6669,6400,4200,NA,NA,NA,NA,NA,NA,49,577,1,20,2,2,2,2,4200,6400
"2184",4724,"63",6,2,24,1,1,1,4,1,2,5,9,13,8620,6400,3,1,6669,6400,4200,1,4,2010,2,2010,65,49,577,1,20,2,2,2,2,4200,6400
"2185",4724,"63",6,2,22,2,1,1,4,1,2,5,9,13,8620,6400,3,1,6669,6400,4200,1,8,2011,2,2006,12,49,577,1,20,2,2,2,2,4200,6400
"2186",4724,"63",6,1,24,1,1,1,4,1,2,5,9,13,8620,6400,3,1,6669,6400,4200,1,4,2010,2,2004,65,49,577,1,20,2,2,2,2,4200,6400
"2187",4724,"63",6,1,47,1,1,1,4,2,4,5,8,13,8620,6400,3,1,6669,6400,4200,2,NA,NA,3,1987,63,49,577,1,20,2,2,2,2,4200,6400
"2188",4724,"63",6,2,44,1,1,1,4,2,4,5,8,13,8620,6400,3,1,6669,6400,4200,2,NA,NA,NA,NA,NA,49,577,1,20,2,2,2,2,4200,6400
"2189",4728,"63",4,1,45,1,1,1,4,1,3,4,3,20,6852.5,6400,3,1,6669,6400,4200,1,3,2011,2,2007,63,49,577,1,20,2,2,2,2,4200,6400
"2190",4728,"63",4,1,20,2,1,1,2,NA,1,6,11.5,20,6852.5,6400,3,1,6669,6400,4200,NA,NA,NA,NA,NA,NA,49,577,1,20,2,2,2,2,4200,6400
"2191",4728,"63",4,2,43,1,1,1,4,2,3,1,NA,20,6852.5,6400,3,1,6669,6400,4200,2,NA,NA,3,NA,NA,49,577,1,20,2,2,2,2,4200,6400
"2192",4728,"63",4,2,17,2,1,1,2,NA,1,6,9.5,20,6852.5,6400,3,1,6669,6400,4200,NA,NA,NA,NA,NA,NA,49,577,1,20,2,2,2,2,4200,6400
"2193",4732,"63",4,2,40,1,0,1,4,2,3,4,4,NA,4732.5,6400,3,1,6669,6400,4200,2,NA,NA,3,NA,NA,49,577,1,20,2,2,2,2,4200,6400
"2194",4732,"63",4,1,42,1,1,1,4,2,3,5,7,NA,4732.5,6400,3,1,6669,6400,4200,2,NA,NA,3,1998,NA,49,577,1,20,2,2,2,2,4200,6400
"2195",4736,"63",7,2,21,2,0,1,4,NA,1,7,12.5,NA,7751.14285714286,6400,3,1,6669,6400,4200,NA,NA,NA,NA,NA,NA,49,577,1,20,2,2,2,2,4200,6400
"2196",4736,"63",7,1,47,1,0,1,4,2,2,5,7.5,NA,7751.14285714286,6400,3,1,6669,6400,4200,2,NA,NA,2,1982,NA,49,577,1,20,2,2,2,2,4200,6400
"2197",4736,"63",7,2,46,1,1,1,4,2,2,4,5,NA,7751.14285714286,6400,3,1,6669,6400,4200,2,NA,NA,2,NA,NA,49,577,1,20,2,2,2,2,4200,6400
"2198",4736,"63",7,2,25,2,0,3,2,2,1,9,13,NA,7751.14285714286,6400,3,1,6669,6400,4200,2,NA,NA,3,2009,NA,49,577,1,20,2,2,2,2,4200,6400
"2199",4736,"63",7,1,24,2,0,4,2,NA,1,11,13.5,NA,7751.14285714286,6400,3,1,6669,6400,4200,NA,NA,NA,NA,NA,NA,49,577,1,20,2,2,2,2,4200,6400
"2200",4740,"63",3,1,28,3,1,1,4,1,2,5,8,10,9070,6400,3,1,6669,6400,4200,1,10,2006,2,2006,65,49,577,1,20,2,2,2,2,4200,6400
"2201",4740,"63",3,1,60,1,1,1,4,2,3,4,3,10,9070,6400,3,1,6669,6400,4200,2,NA,NA,3,1987,NA,49,577,1,20,2,2,2,2,4200,6400
"2202",4740,"63",3,2,58,1,1,1,4,2,4,2,0,10,9070,6400,3,1,6669,6400,4200,2,NA,NA,3,NA,NA,49,577,1,20,2,2,2,2,4200,6400
"2203",4744,"63",5,2,44,1,1,1,4,1,1,1,0,5,9664,6400,3,1,6669,6400,4200,1,10,2006,2,2006,63,49,577,1,20,2,2,2,2,4200,6400
"2204",4744,"63",5,1,43,1,1,1,4,1,1,4,2,5,9664,6400,3,1,6669,6400,4200,1,10,2006,2,1991,63,49,577,1,20,2,2,2,2,4200,6400
"2205",4744,"63",5,2,17,2,1,1,2,NA,1,5,8.5,5,9664,6400,3,1,6669,6400,4200,NA,NA,NA,NA,NA,NA,49,577,1,20,2,2,2,2,4200,6400
"2206",4744,"63",5,1,19,2,1,1,2,NA,1,5,7.5,5,9664,6400,3,1,6669,6400,4200,NA,NA,NA,NA,NA,NA,49,577,1,20,2,2,2,2,4200,6400
"2207",4748,"63",6,1,50,1,1,1,4,1,4,4,3,12,6680,6400,3,1,6669,6400,4200,1,NA,2009,2,NA,NA,49,577,1,20,2,2,2,2,4200,6400
"2208",4748,"63",6,2,23,2,1,1,4,1,1,5,9,12,6680,6400,3,1,6669,6400,4200,1,11.5,2010,1,2009,63,49,577,1,20,2,2,2,2,4200,6400
"2209",4748,"63",6,1,26,2,1,1,4,1,2,4,4,12,6680,6400,3,1,6669,6400,4200,1,10.5,2007,1,2007,63,49,577,1,20,2,2,2,2,4200,6400
"2210",4748,"63",6,2,48,1,1,1,4,2,4,2,0,12,6680,6400,3,1,6669,6400,4200,2,NA,NA,NA,NA,NA,49,577,1,20,2,2,2,2,4200,6400
