"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","b6","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","v1501.1","v1511","b6.1","b6_1","b13_1","b14","b15","e31","v1409","t122","v1601","v1602","v1611","v1621","v1631","v1641","v1511.1","v1501.2"
"34",2056,"63",6,1,22,2,0,1,4,1,2,6,9,14.1999998092651,2437.16666666667,3800,3,1,4768,3800,1800,1,8,2009,1,2009,63,42,285,1,25,1,1,1,1,1800,3800
"35",2056,"63",6,1,24,1,0,1,4,1,2,4,5,14.1999998092651,2437.16666666667,3800,3,1,4768,3800,1800,1,6,2011,1,NA,63,42,285,1,25,1,1,1,1,1800,3800
"36",2056,"63",6,1,46,1,0,1,4,2,2,5,8,14.1999998092651,2437.16666666667,3800,3,1,4768,3800,1800,2,NA,NA,2,1986,NA,42,285,1,25,1,1,1,1,1800,3800
"37",2056,"63",6,2,46,1,0,1,4,2,2,2,NA,14.1999998092651,2437.16666666667,3800,3,1,4768,3800,1800,2,NA,NA,3,NA,NA,42,285,1,25,1,1,1,1,1800,3800
"38",2056,"63",6,2,20,1,0,1,4,2,2,2,NA,14.1999998092651,2437.16666666667,3800,3,1,4768,3800,1800,2,NA,NA,3,NA,NA,42,285,1,25,1,1,1,1,1800,3800
"39",2060,"63",7,2,23,1,0,1,4,2,2,2,NA,13.6999998092651,2827.57142857143,3800,3,1,4768,3800,1800,2,NA,NA,3,NA,NA,42,285,1,25,1,1,1,1,1800,3800
"40",2060,"63",7,1,28,1,0,1,4,2,2,4,5,13.6999998092651,2827.57142857143,3800,3,1,4768,3800,1800,2,NA,NA,3,NA,NA,42,285,1,25,1,1,1,1,1800,3800
"41",2060,"63",7,2,31,1,0,1,4,2,2,2,NA,13.6999998092651,2827.57142857143,3800,3,1,4768,3800,1800,2,NA,NA,3,NA,NA,42,285,1,25,1,1,1,1,1800,3800
"42",2060,"63",7,1,36,1,0,1,4,1,2,4,4,13.6999998092651,2827.57142857143,3800,3,1,4768,3800,1800,1,3,2011,1,NA,63,42,285,1,25,1,1,1,1,1800,3800
"43",2064,"63",5,2,37,1,0,1,4,NA,NA,1,NA,15.5,4225.4,3800,3,1,4768,3800,1800,NA,NA,NA,NA,NA,NA,42,285,1,25,1,1,1,1,1800,3800
"44",2064,"63",5,1,39,1,0,1,4,1,NA,5,NA,15.5,4225.4,3800,3,1,4768,3800,1800,1,4,2008,2,2008,63,42,285,1,25,1,1,1,1,1800,3800
"45",2064,"63",5,2,18,2,0,1,4,NA,NA,5,NA,15.5,4225.4,3800,3,1,4768,3800,1800,NA,NA,NA,NA,NA,NA,42,285,1,25,1,1,1,1,1800,3800
"46",2068,"63",3,2,42,1,0,1,4,NA,4,6,11,NA,10432.6666666667,3800,3,1,4768,3800,1800,NA,NA,NA,NA,NA,NA,42,285,1,25,1,1,1,1,1800,3800
"47",2068,"63",3,1,21,2,0,1,4,NA,2,10,15,NA,10432.6666666667,3800,3,1,4768,3800,1800,NA,NA,NA,NA,NA,NA,42,285,1,25,1,1,1,1,1800,3800
"48",2072,"63",5,1,40,1,0,1,1,1,3,5,8,16.5,2975.8,3800,3,1,4768,3800,1800,1,4,2005,2,2005,63,42,285,1,25,1,1,1,1,1800,3800
"49",2072,"63",5,2,40,1,0,1,4,NA,3,1,NA,16.5,2975.8,3800,3,1,4768,3800,1800,NA,NA,NA,NA,NA,NA,42,285,1,25,1,1,1,1,1800,3800
"50",2076,"63",4,1,20,2,0,1,4,1,3,5,9,12.5,5844,3800,3,1,4768,3800,1800,1,6,2009,1,2009,63,42,285,1,25,1,1,1,1,1800,3800
"51",2076,"63",4,1,18,2,0,1,4,1,3,5,9,12.5,5844,3800,3,1,4768,3800,1800,1,6,2010,1,2010,63,42,285,1,25,1,1,1,1,1800,3800
"52",2076,"63",4,1,39,1,0,1,4,NA,3,4,6,12.5,5844,3800,3,1,4768,3800,1800,NA,NA,NA,NA,NA,NA,42,285,1,25,1,1,1,1,1800,3800
