"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","t122","v1501.1","v1511","b06","b11","b01","b02","CookMthd","b04","b05","a16","a18","h28","h29","a19","a20","a17","a21"
"34",6168,"63",6,1,22,2,0,1,4,2,6,9,14.1999998092651,2437.16666666667,3800,3,1,4768,285,3800,1800,60,7200,2,3,"Firewood",1,1,1,0,3,NA,NA,NA,1,2
"35",6168,"63",6,1,24,1,0,1,4,2,4,5,14.1999998092651,2437.16666666667,3800,3,1,4768,285,3800,1800,60,7200,2,3,"Firewood",1,1,1,0,3,NA,NA,NA,1,2
"36",6168,"63",6,1,46,1,0,1,4,2,5,8,14.1999998092651,2437.16666666667,3800,3,1,4768,285,3800,1800,60,7200,2,3,"Firewood",1,1,1,365,3,NA,NA,NA,1,2
"37",6168,"63",6,2,46,1,0,1,4,2,2,NA,14.1999998092651,2437.16666666667,3800,3,1,4768,285,3800,1800,60,7200,2,3,"Firewood",1,1,1,0,3,NA,NA,NA,1,2
"38",6168,"63",6,2,20,1,0,1,4,2,2,NA,14.1999998092651,2437.16666666667,3800,3,1,4768,285,3800,1800,60,7200,2,3,"Firewood",1,1,1,0,3,NA,NA,NA,1,2
"39",6180,"63",7,2,23,1,0,1,4,2,2,NA,13.6999998092651,2827.57142857143,3800,3,1,4768,285,3800,1800,60,3500,2,3,"Firewood",1,1,1,0,3,NA,0,0,1,2
"40",6180,"63",7,1,28,1,0,1,4,2,4,5,13.6999998092651,2827.57142857143,3800,3,1,4768,285,3800,1800,60,3500,2,3,"Firewood",1,1,4,0,3,NA,0,0,3,2
"41",6180,"63",7,2,31,1,0,1,4,2,2,NA,13.6999998092651,2827.57142857143,3800,3,1,4768,285,3800,1800,60,3500,2,3,"Firewood",1,1,1,0,3,NA,0,0,1,2
"42",6180,"63",7,1,36,1,0,1,4,2,4,4,13.6999998092651,2827.57142857143,3800,3,1,4768,285,3800,1800,60,3500,2,3,"Firewood",1,1,1,0,3,NA,0,0,1,2
"43",6192,"63",5,2,37,1,0,1,4,NA,1,NA,15.5,4225.4,3800,3,1,4768,285,3800,1800,48,7500,2,3,"Firewood",NA,1,1,15,2,NA,NA,NA,1,NA
"44",6192,"63",5,1,39,1,0,1,4,NA,5,NA,15.5,4225.4,3800,3,1,4768,285,3800,1800,48,7500,2,3,"Firewood",NA,1,1,5,2,NA,NA,NA,1,NA
"45",6192,"63",5,2,18,2,0,1,4,NA,5,NA,15.5,4225.4,3800,3,1,4768,285,3800,1800,48,7500,2,3,"Firewood",NA,1,1,2,2,NA,NA,NA,1,NA
"46",6204,"63",3,2,42,1,0,1,4,4,6,11,NA,10432.6666666667,3800,3,1,4768,285,3800,1800,70,10000,2,3,"Firewood",1,3,1,10,1,NA,NA,NA,1,NA
"47",6204,"63",3,1,21,2,0,1,4,2,10,15,NA,10432.6666666667,3800,3,1,4768,285,3800,1800,70,10000,2,3,"Firewood",1,3,1,2,1,NA,NA,NA,1,NA
"48",6216,"63",5,1,40,1,0,1,1,3,5,8,16.5,2975.8,3800,3,1,4768,285,3800,1800,48,21000,2,3,"Firewood",NA,1,1,3,2,NA,NA,NA,1,NA
"49",6216,"63",5,2,40,1,0,1,4,3,1,NA,16.5,2975.8,3800,3,1,4768,285,3800,1800,48,21000,2,3,"Firewood",NA,1,1,7,2,NA,NA,NA,1,NA
"50",6228,"63",4,1,20,2,0,1,4,3,5,9,12.5,5844,3800,3,1,4768,285,3800,1800,45,7600,2,3,"Firewood",1,1,1,2,2,NA,NA,NA,1,NA
"51",6228,"63",4,1,18,2,0,1,4,3,5,9,12.5,5844,3800,3,1,4768,285,3800,1800,45,7600,2,3,"Firewood",1,1,1,1,2,NA,NA,NA,1,NA
"52",6228,"63",4,1,39,1,0,1,4,3,4,6,12.5,5844,3800,3,1,4768,285,3800,1800,45,7600,2,3,"Firewood",1,1,1,5,2,NA,NA,NA,1,NA
"53",6228,"63",4,2,34,1,0,1,4,4,1,NA,12.5,5844,3800,3,1,4768,285,3800,1800,45,7600,2,3,"Firewood",1,1,1,10,2,NA,NA,NA,1,NA
"54",6240,"63",6,2,45,1,0,NA,4,3,4,3,NA,5310.33333333333,5320,3,1,1294,190,5320,3100,180,1e+05,2,3,"Coal",1,1,1,NA,2,NA,NA,NA,1,2
"55",6240,"63",6,2,18,2,0,NA,4,2,9,12.5,NA,5310.33333333333,5320,3,1,1294,190,5320,3100,180,1e+05,2,3,"Coal",1,1,1,NA,2,NA,NA,NA,1,2
"56",6240,"63",6,1,46,1,0,NA,4,2,4,3,NA,5310.33333333333,5320,3,1,1294,190,5320,3100,180,1e+05,2,3,"Coal",1,1,1,NA,2,NA,1,10,1,2
"57",6240,"63",6,2,22,1,0,NA,4,2,4,4,NA,5310.33333333333,5320,3,1,1294,190,5320,3100,180,1e+05,2,3,"Coal",1,1,1,NA,2,NA,NA,NA,1,2
"58",6240,"63",6,1,23,1,0,NA,4,2,5,8,NA,5310.33333333333,5320,3,1,1294,190,5320,3100,180,1e+05,2,3,"Coal",1,1,1,NA,2,NA,NA,10,1,2
"59",6252,"63",5,2,44,1,0,1,4,3,4,3,NA,9308.6,5320,3,1,1294,190,5320,3100,220,120000,2,3,"Coal",1,NA,1,NA,3,NA,NA,NA,1,2
"60",6252,"63",5,1,42,1,0,1,4,3,4,3,NA,9308.6,5320,3,1,1294,190,5320,3100,220,120000,2,3,"Coal",1,NA,1,NA,3,NA,1,10,1,2
"61",6252,"63",5,1,20,2,0,1,4,3,4,3,NA,9308.6,5320,3,1,1294,190,5320,3100,220,120000,2,3,"Coal",1,NA,1,NA,3,NA,NA,NA,1,2
"62",6264,"63",4,1,46,1,0,1,4,2,5,8,6.40000009536743,12710.5,5320,3,1,1294,190,5320,3100,150,80000,2,3,"Coal",1,1,1,NA,3,NA,1,10,1,2
