"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","b6","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","t122","v1501.1","v1511","a16","a18","h28","h29","a19","a20","a17","a21"
"41",4120,"63",7,2,31,1,0,1,4,2,2,2,NA,13.6999998092651,2827.57142857143,3800,3,1,4768,285,3800,1800,1,0,3,NA,0,0,1,2
"42",4120,"63",7,1,36,1,0,1,4,1,2,4,4,13.6999998092651,2827.57142857143,3800,3,1,4768,285,3800,1800,1,0,3,NA,0,0,1,2
"43",4128,"63",5,2,37,1,0,1,4,NA,NA,1,NA,15.5,4225.4,3800,3,1,4768,285,3800,1800,1,15,2,NA,NA,NA,1,NA
"44",4128,"63",5,1,39,1,0,1,4,1,NA,5,NA,15.5,4225.4,3800,3,1,4768,285,3800,1800,1,5,2,NA,NA,NA,1,NA
"45",4128,"63",5,2,18,2,0,1,4,NA,NA,5,NA,15.5,4225.4,3800,3,1,4768,285,3800,1800,1,2,2,NA,NA,NA,1,NA
"46",4136,"63",3,2,42,1,0,1,4,NA,4,6,11,NA,10432.6666666667,3800,3,1,4768,285,3800,1800,1,10,1,NA,NA,NA,1,NA
"47",4136,"63",3,1,21,2,0,1,4,NA,2,10,15,NA,10432.6666666667,3800,3,1,4768,285,3800,1800,1,2,1,NA,NA,NA,1,NA
"48",4144,"63",5,1,40,1,0,1,1,1,3,5,8,16.5,2975.8,3800,3,1,4768,285,3800,1800,1,3,2,NA,NA,NA,1,NA
"49",4144,"63",5,2,40,1,0,1,4,NA,3,1,NA,16.5,2975.8,3800,3,1,4768,285,3800,1800,1,7,2,NA,NA,NA,1,NA
"50",4152,"63",4,1,20,2,0,1,4,1,3,5,9,12.5,5844,3800,3,1,4768,285,3800,1800,1,2,2,NA,NA,NA,1,NA
"51",4152,"63",4,1,18,2,0,1,4,1,3,5,9,12.5,5844,3800,3,1,4768,285,3800,1800,1,1,2,NA,NA,NA,1,NA
"52",4152,"63",4,1,39,1,0,1,4,NA,3,4,6,12.5,5844,3800,3,1,4768,285,3800,1800,1,5,2,NA,NA,NA,1,NA
"53",4152,"63",4,2,34,1,0,1,4,NA,4,1,NA,12.5,5844,3800,3,1,4768,285,3800,1800,1,10,2,NA,NA,NA,1,NA
"54",4160,"63",6,2,45,1,0,NA,4,2,3,4,3,NA,5310.33333333333,5320,3,1,1294,190,5320,3100,1,NA,2,NA,NA,NA,1,2
"55",4160,"63",6,2,18,2,0,NA,4,NA,2,9,12.5,NA,5310.33333333333,5320,3,1,1294,190,5320,3100,1,NA,2,NA,NA,NA,1,2
"56",4160,"63",6,1,46,1,0,NA,4,2,2,4,3,NA,5310.33333333333,5320,3,1,1294,190,5320,3100,1,NA,2,NA,1,10,1,2
"57",4160,"63",6,2,22,1,0,NA,4,2,2,4,4,NA,5310.33333333333,5320,3,1,1294,190,5320,3100,1,NA,2,NA,NA,NA,1,2
"58",4160,"63",6,1,23,1,0,NA,4,2,2,5,8,NA,5310.33333333333,5320,3,1,1294,190,5320,3100,1,NA,2,NA,NA,10,1,2
"59",4168,"63",5,2,44,1,0,1,4,2,3,4,3,NA,9308.6,5320,3,1,1294,190,5320,3100,1,NA,3,NA,NA,NA,1,2
"60",4168,"63",5,1,42,1,0,1,4,2,3,4,3,NA,9308.6,5320,3,1,1294,190,5320,3100,1,NA,3,NA,1,10,1,2
"61",4168,"63",5,1,20,2,0,1,4,1,3,4,3,NA,9308.6,5320,3,1,1294,190,5320,3100,1,NA,3,NA,NA,NA,1,2
"62",4176,"63",4,1,46,1,0,1,4,2,2,5,8,6.40000009536743,12710.5,5320,3,1,1294,190,5320,3100,1,NA,3,NA,1,10,1,2
"63",4176,"63",4,2,44,1,0,1,4,2,2,4,3,6.40000009536743,12710.5,5320,3,1,1294,190,5320,3100,1,5,3,NA,NA,NA,1,2
"64",4176,"63",4,1,16,2,0,1,4,NA,1,6,11.5,6.40000009536743,12710.5,5320,3,1,1294,190,5320,3100,1,NA,3,NA,NA,NA,1,2
"65",4176,"63",4,1,20,2,0,1,4,1,1,8,15,6.40000009536743,12710.5,5320,3,1,1294,190,5320,3100,1,NA,3,NA,NA,NA,1,2
"66",4184,"63",6,1,35,1,0,1,4,1,2,4,3,3.20000004768372,3482,5320,3,1,1294,190,5320,3100,1,NA,3,NA,1,15,1,2
"67",4184,"63",6,2,33,1,0,1,4,2,2,4,3,3.20000004768372,3482,5320,3,1,1294,190,5320,3100,1,NA,3,NA,NA,NA,1,2
"68",4192,"63",4,2,35,1,0,1,4,2,2,4,3,NA,3711,5320,3,1,1294,190,5320,3100,1,NA,3,NA,NA,NA,1,2
"69",4192,"63",4,1,39,1,0,1,4,1,2,4,3,NA,3711,5320,3,1,1294,190,5320,3100,1,NA,3,NA,1,10,1,2
"70",4200,"63",6,2,33,1,0,1,4,1,2,5,8,13,8121.83333333333,4160,3,2,6785,504,4160,2100,1,0,2,NA,0,NA,1,2
"71",4200,"63",6,1,35,1,0,1,4,NA,2,4,3,13,8121.83333333333,4160,3,2,6785,504,4160,2100,1,0,2,NA,0,10,1,2
"72",4208,"63",3,2,44,1,1,1,4,NA,3,4,3,10.3000001907349,4080.66666666667,4160,3,2,6785,504,4160,2100,1,NA,2,NA,NA,NA,1,2
"73",4208,"63",3,2,16,NA,1,1,4,NA,2,6,12.5,10.3000001907349,4080.66666666667,4160,3,2,6785,504,4160,2100,1,NA,2,NA,NA,NA,1,2
"74",4208,"63",3,1,47,1,1,1,4,1,3,4,3,10.3000001907349,4080.66666666667,4160,3,2,6785,504,4160,2100,1,5,2,NA,1,10,1,2
"75",4216,"63",6,1,39,1,1,1,4,1,2,1,NA,NA,2441.83333333333,4160,3,2,6785,504,4160,2100,1,0,2,NA,1,10,1,2
