"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","c6","c11_1","c12","c32","d36aa","v1501","t101","t104","t116","t122","v1501.1","v1511","b6","b6_1","b6_2","b13_1","b13_2","b13_3","b13_4","b14","b15","b15_1","b15_2","n1_3","n1_3_1","e30","e31","e32","e33","e38"
"31",1026,"63",5,2,48,1,0,1,4,2,2,NA,14,1886.2,3800,3,1,4768,285,3800,1800,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",1026,"63",5,1,27,2,0,1,4,2,1,5,14,1886.2,3800,3,1,4768,285,3800,1800,1,4,56,2005,5,NA,NA,1,NA,2,5,15000,NA,2,63,2,10,NA
"33",1026,"63",5,1,50,1,0,1,4,2,1,5,14,1886.2,3800,3,1,4768,285,3800,1800,2,NA,NA,NA,NA,NA,NA,2,NA,2,5,NA,NA,NA,NA,NA,NA,NA
"34",1028,"63",6,1,22,2,0,1,4,2,6,9,14.1999998092651,2437.16666666667,3800,3,1,4768,285,3800,1800,1,8,70,2009,6,NA,NA,1,2009,2,5,15000,10000,2,63,2,11,NA
"35",1028,"63",6,1,24,1,0,1,4,2,4,5,14.1999998092651,2437.16666666667,3800,3,1,4768,285,3800,1800,1,6,56,2011,5,NA,NA,1,NA,NA,NA,15000,10000,2,63,2,10,NA
"36",1028,"63",6,1,46,1,0,1,4,2,5,8,14.1999998092651,2437.16666666667,3800,3,1,4768,285,3800,1800,2,NA,NA,NA,NA,NA,NA,2,1986,2,5,NA,NA,NA,NA,NA,NA,NA
"37",1028,"63",6,2,46,1,0,1,4,2,2,NA,14.1999998092651,2437.16666666667,3800,3,1,4768,285,3800,1800,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",1028,"63",6,2,20,1,0,1,4,2,2,NA,14.1999998092651,2437.16666666667,3800,3,1,4768,285,3800,1800,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",1030,"63",7,2,23,1,0,1,4,2,2,NA,13.6999998092651,2827.57142857143,3800,3,1,4768,285,3800,1800,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",1030,"63",7,1,28,1,0,1,4,2,4,5,13.6999998092651,2827.57142857143,3800,3,1,4768,285,3800,1800,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",1030,"63",7,2,31,1,0,1,4,2,2,NA,13.6999998092651,2827.57142857143,3800,3,1,4768,285,3800,1800,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",1030,"63",7,1,36,1,0,1,4,2,4,4,13.6999998092651,2827.57142857143,3800,3,1,4768,285,3800,1800,1,3,70,2011,6,NA,NA,1,NA,2,6,NA,10600,3,63,6,16,0
"43",1032,"63",5,2,37,1,0,1,4,NA,1,NA,15.5,4225.4,3800,3,1,4768,285,3800,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",1032,"63",5,1,39,1,0,1,4,NA,5,NA,15.5,4225.4,3800,3,1,4768,285,3800,1800,1,4,56,2008,6,NA,NA,2,2008,2,6,6688,NA,1,63,2,8,NA
