"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","b2","Unemp","EmptType","b4_2","b5","b7","b10","b12","c11_1","c12","pa151"
"2",10,"qinghai",2,2,53,1,1,1,4,1979,0,0,36,1979,15,1,2,6,11,14400
"3",20,"qinghai",3,2,57,4,1,1,4,1976,0,0,35,1976,16,1,4,11,14,61200
"4",20,"qinghai",3,1,32,1,1,1,2,2004,0,0,35,2004,19,4,2,11,16,42000
"5",20,"qinghai",3,2,32,1,1,1,1,2003,0,0,35,2003,6,4,5,11,16,26000
"6",30,"qinghai",4,1,39,1,0,1,4,1992,0,0,35,1992,6,6,1,5,9,18240
"7",30,"qinghai",4,2,38,1,0,1,4,1994,0,0,40,1994,8,6,1,5,9,16120
"10",40,"qinghai",4,1,36,1,0,1,1,1996,0,0,36,1996,6,1,2,9,14,49200
"11",40,"qinghai",4,2,33,1,0,1,4,2002,0,1,52,2002,8,NA,NA,6,12,NA
"14",50,"qinghai",1,2,46,3,1,1,4,2010,0,0,8,2010,7,6,1,6,11,26976
"15",60,"qinghai",4,1,43,1,0,1,1,1990,0,0,35,1990,19,1,2,11,15,45600
"16",60,"qinghai",4,2,42,1,0,1,1,1988,0,0,35,1988,19,1,2,11,15,33200
"19",70,"qinghai",3,1,42,1,1,1,1,1992,0,0,35,1992,9,1,3,11,15,31200
"20",70,"qinghai",3,2,42,1,1,1,1,1992,0,0,35,1992,9,5,3,11,15,38400
"25",90,"qinghai",2,1,53,1,1,1,4,1977,0,0,34,1977,17,1,2,9,12,5160
"26",90,"qinghai",2,2,51,1,1,1,4,1980,0,0,34,1980,1,1,3,5,6,4860
"27",100,"qinghai",3,1,35,1,1,1,4,NA,0,1,42,2010,8,NA,NA,6,12,38000
"28",100,"qinghai",3,2,34,1,1,1,4,NA,0,1,42,2009,12,NA,NA,9,14,NA
"30",110,"qinghai",3,1,46,1,0,1,1,1986,0,0,36,1986,19,1,2,13,16,51000
"31",110,"qinghai",3,2,39,1,0,1,4,1992,0,0,35,1992,9,5,3,10,13,25200
"35",130,"qinghai",1,1,46,3,0,1,1,1995,0,0,48,1995,4,6,5,6,12,36000
"44",170,"qinghai",3,2,44,1,0,1,4,1985,0,0,45,1985,8,3,3,6,NA,18000
"45",170,"qinghai",3,1,45,1,0,1,4,1983,0,0,56,1983,19,1,2,5,NA,9600
"49",180,"qinghai",3,2,26,2,1,2,2,2008,0,0,40,2008,15,NA,2,9,15,14400
"58",220,"qinghai",4,1,39,1,0,1,2,2002,0,0,63,2002,18,6,1,6,12,NA
"64",240,"qinghai",2,1,33,1,0,1,1,1996,0,0,48,2006,17,1,6,9,15,28524
"65",240,"qinghai",2,2,29,1,0,2,1,2002,0,0,40,2011,10,6,2,9,15,NA
"66",250,"qinghai",2,1,45,1,0,1,1,1985,0,0,56,1985,14,5,3,6,12,14400
"67",250,"qinghai",2,2,46,1,0,1,4,2011,0,0,56,1984,8,5,1,9,15,9600
"68",260,"qinghai",3,1,42,1,0,1,2,1990,0,0,40,1990,5,NA,NA,6,12,24000
"69",260,"qinghai",3,2,40,1,0,1,2,1990,0,1,84,1990,7,NA,NA,6,12,NA
"73",270,"qinghai",4,1,26,2,0,1,4,1998,0,0,40,1998,6,3,2,4,6,18000
"75",280,"qinghai",2,2,41,3,0,1,4,2007,0,1,42,2007,8,NA,NA,5,9,1800
"77",290,"qinghai",5,1,50,1,0,1,4,1980,0,0,70,2009,15,6,1,5,8,12000
"78",290,"qinghai",5,2,46,1,1,1,4,1984,0,0,40,2009,15,6,1,5,8,21600
"79",290,"qinghai",5,1,25,2,0,1,4,2004,0,0,40,2010,15,6,2,5,9,18000
"84",300,"qinghai",6,1,33,1,0,1,4,1995,0,0,70,1995,15,3,1,5,9,18000
"85",300,"qinghai",6,2,31,1,0,1,4,1998,0,0,60,1998,15,3,2,4,6,10000
"88",310,"qinghai",5,1,47,1,0,1,4,2000,0,1,45,2000,12,7,1,4,5,24000
"90",310,"qinghai",5,2,26,2,0,1,2,2005,0,0,40,2011,8,6,1,5,9,24000
"94",320,"qinghai",4,2,37,1,1,1,1,2008,0,0,56,2008,15,3,7,6,12,18000
"95",320,"qinghai",4,1,40,1,1,1,4,1992,0,0,48,1997,15,1,5,6,12,21600
"97",330,"qinghai",3,1,50,1,0,1,4,1982,0,1,63,2008,9,5,1,5,8,42000
"101",340,"qinghai",3,1,43,3,1,1,4,1995,0,1,60,2010,9,NA,NA,5,9,NA
"103",350,"qinghai",2,1,54,3,1,1,4,1983,0,0,50,2001,19,1,2,6,10,9000
"104",350,"qinghai",2,1,25,1,1,1,2,2010,0,0,60,2010,18,3,3,11,16,18000
"105",360,"qinghai",3,1,42,1,0,2,4,2005,0,1,60,2005,9,NA,NA,5,8,NA
"108",370,"qinghai",5,1,44,1,1,1,4,1993,0,0,56,1993,3,1,7,12,16,21600
"109",370,"qinghai",5,2,38,1,1,1,1,1999,0,0,40,1999,19,1,2,12,16,32400
"113",380,"qinghai",3,1,47,1,1,1,4,1985,1,NA,NA,NA,NA,NA,NA,11,14,NA
"114",380,"qinghai",3,2,46,1,1,1,4,1983,0,0,40,1983,16,1,5,9,13,48000
"122",410,"qinghai",2,1,48,3,1,1,4,1979,0,0,40,2000,19,1,6,6,10,15600
"131",450,"qinghai",3,1,29,1,0,1,1,2004.80004882812,0,0,50,2004,6,1,7,11,13,48000
"132",450,"qinghai",3,2,27,1,1,1,1,2001.80004882812,0,0,40,2001,6,1,6,9,12,36000
"135",460,"qinghai",3,1,52,1,1,1,4,1977,0,0,40,1977,6,1,5,6,10,37000
"137",470,"qinghai",3,1,51,3,1,1,4,1978,0,0,70,1978,6,1,2,6,9,36000
"138",470,"qinghai",3,2,21,2,1,1,4,NA,1,NA,NA,NA,NA,NA,NA,9,12,NA
"142",490,"qinghai",3,1,53,1,1,1,4,1975,0,0,40,1975,6,1,7,5,8,38400
"144",490,"qinghai",3,1,23,2,1,2,2,2011,0,0,40,2011,7,6,2,11,12,NA
"146",500,"qinghai",6,1,54,1,1,1,4,1980,0,0,40,1980,6,1,7,5,8,52320
"148",500,"qinghai",6,2,30,1,1,1,2,2002,0,0,40,2002,16,2,2,8,10,NA
"149",500,"qinghai",6,1,39,1,1,1,4,1988,0,0,40,1988,6,3,1,4,5,NA
"151",510,"qinghai",3,1,41,1,0,1,4,198901,0,0,7,2002,19,1,4,11,14,38400
"152",510,"qinghai",3,2,41,1,1,1,4,198806,0,1,9,2008,8,4,1,6,10,NA
"154",520,"qinghai",4,1,48,1,1,1,4,1985,0,1,4550,1985,8,NA,NA,5,8,NA
"156",520,"qinghai",4,1,24,2,1,1,4,201004,0,0,2080,2010,9,3,3,11,14,37796.7
"157",520,"qinghai",4,2,22,2,1,1,4,201110,0,0,2080,2011,9,5,4,9,NA,NA
"158",530,"qinghai",3,1,45,1,1,1,4,2007,0,1,3276,2007,9,NA,NA,5,NA,NA
"159",530,"qinghai",3,2,46,1,1,1,4,2008,0,1,3276,2008,8,NA,NA,7,NA,NA
"160",530,"qinghai",3,1,21,2,1,1,4,2011,0,0,2912,2011,3,5,7,7,NA,NA
"161",540,"qinghai",3,2,42,1,1,1,4,199107,0,0,2000,NA,6,1,5,9,13,26753.5
"162",540,"qinghai",3,1,47,1,1,1,4,198202,0,0,2496,NA,15,6,2,8,12,36000
"166",560,"qinghai",4,1,47,1,1,1,NA,198403,0,0,1820,1998,3,6,2,5,8,14400
"167",560,"qinghai",4,2,38,1,1,1,NA,199205,0,0,1820,2000,3,5,2,5,8,10300
"172",570,"qinghai",7,1,31,1,1,1,4,201108,0,0,48,2011,8,6,1,6,9,8000
"177",580,"qinghai",3,1,45,1,1,2,4,2002,0,NA,NA,NA,NA,NA,NA,5,8,NA
"180",590,"qinghai",4,1,50,1,1,1,4,1982,0,1,NA,2009,6,NA,NA,5,8,38450
"181",590,"qinghai",4,2,39,1,1,2,4,2010,0,0,NA,2010,8,6,2,5,9,9000
"184",600,"qinghai",3,1,38,1,1,1,4,2000,0,1,60,201003,6,NA,NA,6,10,46000
"185",600,"qinghai",3,2,39,1,1,2,4,NA,0,0,56,201011,8,6,1,9,12,NA
"187",610,"qinghai",3,1,46,1,NA,1,4,1996,0,1,NA,NA,8,NA,NA,4,5,NA
"188",610,"qinghai",3,2,47,1,NA,1,4,2003,0,1,NA,NA,8,NA,NA,4,5,NA
"189",610,"qinghai",3,1,24,2,NA,1,4,201101,0,0,NA,NA,7,3,2,11,12,20200
"190",620,"qinghai",3,1,40,1,0,1,1,1994,0,0,245,1994,8,1,7,NA,NA,36000
"191",620,"qinghai",3,2,37,1,1,1,1,1997,0,0,245,1997,19,1,2,NA,NA,25350
"193",630,"qinghai",3,1,46,1,1,1,1,198307,0,0,245,1987,19,1,3,11,12,49759
"196",640,"qinghai",3,1,56,1,1,1,1,198003,0,0,245,1980,19,1,2,9,10,57413.6
"197",640,"qinghai",3,2,49,1,1,1,4,198207,0,0,245,1982,19,1,1,9,10,42049.7
"198",640,"qinghai",3,2,24,2,1,1,4,200812,0,0,320,2008,3,4,3,11,15,20808
"203",660,"qinghai",3,2,24,2,1,1,4,200803,0,0,384,2008,8,3,1,8,11,5400
"208",680,"qinghai",3,1,25,2,1,1,4,201112,1,NA,NA,NA,NA,NA,NA,6,12,NA
"209",690,"qinghai",3,2,38,1,1,1,1,199304,0,0,245,1993,10,1,4,11,15,36054.4
"210",690,"qinghai",3,1,39,1,1,1,1,199012,0,0,245,1992,10,1,4,12,14,NA
"212",700,"qinghai",2,1,49,1,1,1,1,1985,0,0,40,1985,6,1,5,9,10,29902.6
"213",700,"qinghai",2,2,48,1,1,1,1,1984,0,0,28,1984,6,1,5,6,9,23595.9
"214",710,"qinghai",3,1,43,1,1,1,4,1988,0,0,35,1988,19,1,3,11,13,45516
"215",710,"qinghai",3,2,40,1,1,1,4,1990,0,0,40,1990,6,1,3,9,11,15427
"221",730,"qinghai",5,1,33,NA,1,1,4,1998,0,0,40,1998,19,1,5,8,12,10866
"222",730,"qinghai",5,2,30,NA,1,1,4,2002,0,0,40,2002,8,4,2,11,12,9855.78
"226",750,"qinghai",4,1,43,1,1,1,1,1992,0,0,40,200007,19,4,2,11,14,62215
"227",750,"qinghai",4,2,40,1,1,1,4,1990,0,0,45,198907,17,1,6,12,13,47820
"231",760,"qinghai",3,2,42,1,1,1,4,1989,0,0,60,2009,8,6,2,6,10,8400
"236",770,"qinghai",6,2,41,3,1,NA,4,1988,0,NA,NA,NA,NA,NA,NA,NA,NA,7200
"239",780,"qinghai",3,2,38,1,1,1,4,1998,0,0,63,1998,8,3,1,8,14,24000
"240",780,"qinghai",3,1,40,1,1,1,4,1990,0,0,48,1990,6,2,2,5,9,19500
"245",800,"qinghai",4,1,44,1,1,1,4,1985,0,0,10,1998,6,1,7,5,8,22231.4
"246",800,"qinghai",4,2,43,1,1,1,4,1988,0,0,7,2001,8,4,2,5,8,11400
"251",820,"qinghai",3,1,38,1,1,1,4,1992,0,0,30,1991,6,1,7,8,12,26443
"252",820,"qinghai",3,2,34,1,1,1,4,1998,0,0,50,2005,8,6,4,8,12,16980
"261",850,"qinghai",3,2,24,2,1,1,4,2011,0,0,8,2011,8,6,2,9,13,2400
"262",860,"qinghai",3,1,46,1,1,1,4,1980,0,0,56,2011,19,4,6,5,8,6870
"263",860,"qinghai",3,2,45,1,0,1,4,1983,0,0,56,2000,19,4,6,5,8,12180
"264",860,"qinghai",3,1,24,2,1,1,4,2009,0,0,56,2009,6,3,3,7,10,7200
"265",870,"qinghai",3,1,46,1,1,1,4,1980,0,0,56,2010,19,4,5,5,8,12600
"266",870,"qinghai",3,2,44,1,1,1,4,1986,1,NA,56,2009,9,6,2,5,8,9770
"269",880,"qinghai",2,1,37,2,1,1,4,1996,0,1,63,2008,8,6,2,5,8,18000
"276",910,"qinghai",3,1,44,1,1,NA,1,1991,0,0,2080,1991,10,1,5,12,13,45624
"277",910,"qinghai",3,2,41,1,1,NA,1,1988,0,0,1750,1988,19,1,2,12,13,20416.2
"279",920,"qinghai",1,2,50,1,1,1,4,1977,0,0,40,1995,19,1,4,12,13,41377
"280",930,"qinghai",3,1,46,1,1,1,1,1982,0,0,40,1989,10,1,4,11,14,48861
"285",940,"qinghai",3,1,25,2,1,1,4,NA,1,NA,NA,NA,NA,NA,NA,11,16,3000
"290",970,"qinghai",3,1,43,1,1,1,4,1986,0,1,60,2006,8,4,1,8,10,55969.5
"291",970,"qinghai",3,2,43,1,1,1,1,1988,0,0,40,1988,6,1,7,8,10,NA
"298",990,"qinghai",3,1,34,1,1,1,4,2006,0,0,45,2006,3,3,5,7,14,14200
"299",1000,"qinghai",2,2,55,3,1,1,1,1971,0,0,7,1987,19,1,2,12,13,56366.6
"300",1000,"qinghai",2,1,27,2,1,1,4,2009,0,0,8,2009,19,6,3,11,16,3200
"302",1010,"qinghai",3,2,53,1,1,1,4,NA,0,0,42,NA,4,5,NA,4,NA,10800
"303",1010,"qinghai",3,2,30,2,1,1,4,NA,0,0,60,NA,7,3,NA,5,NA,12000
"304",1020,"qinghai",2,1,58,1,1,1,1,1972,0,0,40,1972,13,1,2,9,12,68160
"308",1030,"qinghai",3,2,36,3,1,1,4,2007,0,0,60,2010,8,5,2,5,NA,7200
"310",1040,"qinghai",4,2,41,1,1,1,4,NA,1,NA,NA,NA,NA,NA,NA,6,NA,NA
"311",1040,"qinghai",4,1,39,1,1,1,4,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA
"313",1050,"qinghai",2,2,46,3,1,1,1,1985,0,0,35,1985,19,NA,3,12,NA,48096
"319",1080,"qinghai",4,1,39,1,1,1,4,2002,0,0,60,2002,8,6,2,6,NA,10800
"320",1080,"qinghai",4,2,37,1,1,1,4,NA,1,NA,NA,NA,NA,NA,NA,5,NA,NA
"323",1090,"qinghai",3,1,49,1,1,1,1,1979,0,0,35,1979,10,4,5,6,NA,48432
"329",1120,"qinghai",2,1,52,1,1,1,4,NA,0,1,35,3,7,4,1,6,NA,NA
"332",1130,"qinghai",4,1,43,1,1,1,4,1986,0,0,48,2009,8,6,3,5,NA,13200
"333",1130,"qinghai",4,2,41,1,1,1,4,1990,0,0,48,2010,8,3,2,5,NA,9600
"340",1150,"qinghai",2,1,56,1,1,1,4,1985,0,0,35,1985,6,NA,4,6,NA,19296
"341",1160,"qinghai",2,2,46,3,1,1,4,NA,0,0,60,2006,15,7,2,4,NA,14400
"342",1160,"qinghai",2,1,23,2,1,2,2,NA,1,NA,NA,NA,NA,NA,NA,9,17,NA
"343",1170,"qinghai",3,1,45,1,1,1,1,1982,0,0,35,1982,6,NA,3,11,NA,31200
"344",1170,"qinghai",3,2,43,1,1,1,4,1985,0,0,35,1985,6,NA,4,8,NA,22224
"346",1180,"qinghai",3,1,35,1,1,2,1,2000,0,0,36,2000,4,2,5,11,NA,NA
"350",1200,"qinghai",3,2,47,1,1,1,4,2001,0,0,112,2007,8,7,1,5,NA,NA
"351",1200,"qinghai",3,1,48,1,1,1,4,2003,0,0,56,2009,8,6,2,5,NA,13200
"355",1220,"qinghai",3,1,47,1,1,2,4,NA,0,0,40,1992,6,7,3,NA,NA,18000
"357",1220,"qinghai",3,2,25,2,1,2,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"358",1230,"qinghai",3,1,46,1,1,1,4,NA,0,0,52,2007,5,5,2,5,NA,14400
"359",1230,"qinghai",3,2,45,1,1,1,4,NA,0,0,72,2011,6,6,2,5,NA,6000
"364",1260,"qinghai",2,2,47,1,1,1,1,1981,0,NA,35,1981,17,1,6,11,15,65160
"365",1260,"qinghai",2,1,29,2,1,1,2,2005,0,NA,35,2005,17,4,6,11,15,19200
"366",1270,"qinghai",3,2,48,1,1,1,1,1981,0,0,8,1981,19,1,2,6,12,12156
"367",1270,"qinghai",3,1,49,1,1,1,1,1983,0,0,8,1983,3,1,7,11,15,43920
"371",1290,"qinghai",2,1,69,1,0,1,4,NA,0,1,50,1985,NA,NA,NA,1,NA,NA
"372",1290,"qinghai",2,2,46,1,0,1,4,1985,0,1,50,1985,8,NA,NA,5,6,NA
"374",1300,"qinghai",3,1,39,1,1,1,4,1994,0,0,35,1994,15,4,5,5,9,18000
"375",1300,"qinghai",3,2,35,1,1,1,4,2000,0,0,35,2000,8,4,5,5,9,9600
"380",1330,"qinghai",3,2,38,1,1,1,4,1995,0,1,40,1995,17,7,3,5,6,10440
"381",1330,"qinghai",3,1,39,1,1,1,4,1993,0,1,40,1993,8,7,3,5,6,12000
"386",1360,"qinghai",2,2,39,1,1,2,4,1992,0,1,40,1992,5,NA,NA,6,9,24000
"387",1360,"qinghai",2,1,40,1,1,2,4,1992,0,0,40,1992,5,7,1,6,9,NA
"390",1370,"qinghai",3,1,33,2,1,1,4,1997,0,0,8,1997,3,4,3,9,15,NA
"391",1380,"qinghai",2,1,53,1,1,1,4,1981,0,0,40,1981,8,4,3,5,9,24000
"393",1390,"qinghai",3,2,49,1,1,1,1,NA,0,0,35,1980,8,4,2,5,9,10800
"394",1390,"qinghai",3,1,56,1,1,1,4,NA,0,0,35,1972,3,4,2,5,9,13200
"395",1390,"qinghai",3,2,25,2,1,1,4,NA,0,0,35,2009,8,4,2,11,16,14400
"404",1440,"qinghai",2,2,48,1,1,1,4,2009,0,0,40,2009,10,4,3,11,16,NA
"410",1460,"qinghai",3,1,38,2,1,1,4,1993,0,0,40,1993,9,4,5,6,12,NA
"412",1470,"qinghai",2,2,50,3,1,1,4,1979,0,0,40,1979,17,4,5,9,15,39240
"413",1480,"qinghai",2,2,49,1,1,1,1,1980,0,0,40,1980,17,NA,7,8,12,44400
"414",1480,"qinghai",2,1,50,1,1,1,1,1979,0,0,40,1979,5,NA,7,11,16,42000
"419",1510,"qinghai",3,1,41,1,0,1,4,1989,0,0,40,1989,3,1,7,7,11,40500
"420",1510,"qinghai",3,2,39,1,1,1,4,1994,0,0,40,1994,3,1,7,7,11,40600
"422",1520,"qinghai",3,1,45,1,1,1,1,1983,0,0,63,1983,3,7,7,5,8,49892
"423",1520,"qinghai",3,2,43,1,0,1,4,1984,0,0,63,1984,3,4,7,5,8,47108
"427",1530,"qinghai",3,2,42,3,1,1,4,1987,0,0,0,1987,17,1,7,5,5,12300
"428",1540,"qinghai",3,1,50,1,0,1,4,1980,0,0,40,1980,3,4,7,5,8,32900
"429",1540,"qinghai",3,2,43,1,1,1,4,1988,0,0,40,2008,8,4,1,6,11,12000
"434",1560,"qinghai",2,2,30,2,1,1,1,2005,0,0,40,NA,3,4,7,8,14,41760
"435",1570,"qinghai",2,1,43,1,1,1,4,1985,0,0,56,2005,9,6,1,5,8,48000
"436",1570,"qinghai",2,2,44,1,1,1,4,1984,0,0,35,2009,19,1,2,5,8,17562
"441",1590,"qinghai",4,2,33,2,1,1,4,1995,0,0,45,1995,3,4,7,9,13,31500
"444",1600,"qinghai",2,2,47,1,0,1,4,1979,0,0,35,2003,19,4,2,5,8,16050
"447",1620,"qinghai",3,1,41,1,1,1,4,1993,0,0,45,1993,3,1,7,5,8,4200
"448",1620,"qinghai",3,2,41,1,1,1,4,1992,0,0,54,2011,17,6,2,6,10,12600
"452",1640,"qinghai",3,1,39,1,1,1,4,1990,0,0,48,1990,3,4,7,6,11,51920
"453",1640,"qinghai",3,2,41,1,1,1,4,1989,0,0,48,1989,3,4,7,6,11,39600
"459",1660,"qinghai",2,2,34,2,1,2,4,2005,0,0,80,2011,15,5,1,5,8,14400
"460",1660,"qinghai",2,1,42,2,1,1,4,1982,0,0,50,1987,6,6,2,5,9,8380
"464",1680,"qinghai",2,1,40,1,1,2,4,1990,0,0,48,2008,3,NA,2,5,8,17400
"465",1680,"qinghai",2,2,49,1,1,2,4,1979,0,0,54,2003,8,NA,3,5,8,13850
"466",1690,"qinghai",2,1,52,1,1,1,4,1976,0,0,56,2008,19,1,5,4,5,18028
"469",1700,"qinghai",2,1,32,1,1,1,4,2005,0,0,35,2005,11,4,2,9,13,NA
"470",1710,"qinghai",3,2,48,1,0,1,4,1984,1,NA,NA,NA,NA,NA,NA,5,NA,6300
"475",1730,"qinghai",1,1,52,3,1,1,4,1978,0,0,45,1998,6,6,2,9,12,21470
"476",1740,"qinghai",2,1,NA,3,0,1,4,2011,0,0,48,2011,3,7,3,5,8,11760
"478",1750,"qinghai",3,1,50,1,1,1,4,1979,0,0,40,1980,3,1,7,5,8,42000
"483",1770,"qinghai",3,1,45,1,1,1,4,1985,0,0,44,NA,4,1,7,7,11,41690
"484",1770,"qinghai",3,2,42,1,1,1,4,1989,0,0,48,NA,12,3,4,6,13,18000
"489",1800,"qinghai",4,2,51,1,1,1,4,1981,0,0,35,81,3,1,4,5,8,16600
"490",1800,"qinghai",4,1,50,1,1,1,4,1978,0,0,35,78,3,1,4,5,8,20360
"491",1800,"qinghai",4,2,27,2,1,1,4,NA,1,NA,NA,NA,NA,NA,NA,9,14,NA
"493",1810,"qinghai",2,2,40,1,1,1,4,1992,0,0,48,1992,15,NA,7,5,11,20400
"494",1810,"qinghai",2,1,46,1,1,1,4,1981,0,0,48,1981,15,NA,7,5,12,14400
"498",1830,"qinghai",3,2,32,1,1,1,4,2006,0,0,40,2006,12,6,2,6,12,6960
"502",1840,"qinghai",3,2,NA,2,1,1,4,2003,0,0,40,2003,3,3,2,12,NA,NA
"504",1860,"qinghai",3,1,43,1,1,1,4,1985,0,0,48,1984,3,NA,5,5,8,35659
"507",1870,"qinghai",3,1,46,1,1,1,4,1983,0,0,NA,1983,3,1,7,6,11,49872
"508",1870,"qinghai",3,2,45,1,1,1,4,1985,0,0,NA,1985,15,1,7,7,13,29316
"509",1870,"qinghai",3,2,20,2,1,1,2,2011,0,0,NA,2011,3,4,7,8,13,NA
"510",1880,"qinghai",3,1,41,1,1,1,4,1989,0,0,48,1989,3,4,7,6,11,30095
"513",1890,"qinghai",3,2,48,3,1,1,4,1982,0,0,45,1982,3,1,7,7,13,52009
"514",1890,"qinghai",3,2,26,2,1,1,2,2009,1,NA,48,2009,17,5,2,11,14,6500
"516",1900,"qinghai",4,2,34,1,1,2,4,1992,0,0,56,2011,8,6,3,5,9,21850
"517",1900,"qinghai",4,1,38,1,1,1,4,2009,0,0,78,2009,3,6,1,5,9,10800
"520",1910,"qinghai",3,1,31,1,1,1,4,1997,1,NA,70,2011,6,3,1,9,12,21120
"521",1910,"qinghai",3,2,31,1,1,1,4,1998,0,0,56,1998,6,4,7,9,12,18696
"523",1920,"qinghai",3,1,39,1,1,1,4,1997,0,1,70,2007,6,6,NA,5,9,NA
"526",1930,"qinghai",3,1,47,1,1,1,4,1984,0,0,48,1982,3,1,7,7,13,38432
"527",1930,"qinghai",3,2,46,1,1,1,4,2002,0,1,50,2009,8,7,1,5,8,NA
"529",1940,"qinghai",3,2,35,1,1,1,2,1996,0,0,50,2001,7,6,2,10,26,26000
"530",1940,"qinghai",3,1,37,1,1,1,2,1997,0,0,60,2005,8,5,3,9,30,42200
"534",1960,"qinghai",3,1,42,1,1,NA,4,1992,0,0,50,2005,6,5,1,6,11,17800
"535",1960,"qinghai",3,2,42,1,1,NA,4,1995,0,0,43,2004,7,5,2,10,13,23800
"541",1990,"qinghai",3,2,42,1,1,1,NA,1993,0,0,35,NA,19,1,2,6,11,9300
"542",1990,"qinghai",3,1,42,1,1,1,NA,1993,0,0,54,NA,5,6,2,6,11,18000
"544",2000,"qinghai",2,1,49,1,1,1,4,1983,0,0,30,2004,6,5,1,5,8,18000
"545",2000,"qinghai",2,2,42,1,0,1,4,1980,0,0,40,2009,2,6,2,11,13,24000
"551",2020,"qinghai",5,1,39,1,1,1,1,NA,0,0,56,2010,15,6,3,4,8,NA
"552",2020,"qinghai",5,2,32,1,1,1,4,NA,0,1,56,2011,8,6,NA,4,8,NA
"557",2040,"qinghai",3,2,41,1,1,1,4,1989,0,0,56,1989,15,3,2,6,12,NA
"558",2040,"qinghai",3,1,43,1,1,1,4,1988,0,0,70,1988,15,5,1,6,12,10520
"560",2050,"qinghai",4,1,42,1,1,1,4,1990,0,1,70,1990,15,6,2,6,12,NA
"561",2050,"qinghai",4,2,42,1,1,1,4,2009,0,0,49,2009,15,3,2,5,9,3600
"564",2060,"qinghai",5,1,41,1,1,1,4,2001,0,0,50,2001,16,1,2,9,16,48035
"569",2070,"qinghai",4,1,43,1,1,1,4,1992,0,0,48,2004,17,3,2,8,14,18000
"573",2080,"qinghai",3,1,39,1,1,1,2,2009,0,0,56,2009,14,5,2,5,NA,36840
"576",2090,"qinghai",5,2,31,2,1,1,2,2005,0,0,44,2005,16,NA,2,10,15,6960
"577",2090,"qinghai",5,1,36,2,1,1,2,2010,0,0,49,2010,15,1,2,10,15,38700
"581",2100,"qinghai",4,1,45,1,1,1,4,1986,0,0,56,1986,15,5,1,6,12,12000
"582",2100,"qinghai",4,2,40,1,1,1,4,1990,0,0,48,1990,8,5,2,5,9,6000
"587",2110,"qinghai",3,2,27,2,1,1,2,2008,0,0,40,2008,19,NA,2,6,12,6960
"588",2120,"qinghai",4,1,43,1,1,1,2,1995,0,0,38,1995,1,NA,2,10,16,58070
"589",2120,"qinghai",4,2,43,1,1,1,2,1996,0,0,34,2008,15,NA,2,8,12,6960
"597",2140,"qinghai",3,1,46,1,1,1,2,NA,0,0,30,2011,15,7,2,5,8,6900
"602",2160,"qinghai",3,1,42,1,1,1,4,1990,0,0,40,1990,6,1,2,9,15,31452
"603",2160,"qinghai",3,2,38,1,1,1,4,1995,0,0,40,1995,6,1,3,12,16,9675
"605",2170,"qinghai",3,1,38,1,0,1,1,1992,0,0,40,1986,1,1,4,9,NA,41937
"606",2170,"qinghai",3,2,37,1,1,1,2,1996,0,0,48,1988,8,1,2,11,NA,6500
"608",2180,"qinghai",4,1,49,1,1,1,4,2011,0,1,56,2011,6,NA,NA,6,10,NA
"609",2180,"qinghai",4,2,49,1,1,1,4,2011,0,1,56,2011,6,NA,NA,5,8,NA
"612",2190,"qinghai",3,1,43,1,1,1,1,1987,0,0,42,1987,19,1,2,6,10,35930
"613",2190,"qinghai",3,2,37,1,1,1,1,2004,0,0,45,2004,19,1,2,9,13,6960
"617",2210,"qinghai",4,1,32,1,1,1,1,2001,0,0,35,2001,18,1,2,10,14,38984
"618",2210,"qinghai",4,2,31,1,1,1,4,2003,0,0,70,2009,3,2,4,10,14,27372
"621",2220,"qinghai",3,1,55,1,1,1,1,1980,0,0,50,1980,19,1,3,8,8,41050
"623",2220,"qinghai",3,1,26,2,1,1,4,2011,0,0,24,2011,3,2,7,9,15,NA
"626",2240,"qinghai",4,1,44,1,1,1,1,1987,0,0,49,35,19,1,2,9,14,44970
"627",2240,"qinghai",4,2,42,1,0,1,4,2007,0,0,49,15,15,1,2,6,12,6960
"634",2260,"qinghai",4,1,40,1,1,1,4,1999,0,0,40,1999,14,7,2,6,9,44246
"635",2260,"qinghai",4,2,38,1,1,1,4,2001,0,0,48,2001,14,7,2,5,9,23600
"638",2270,"qinghai",3,1,36,1,1,1,4,1993,0,0,40,1995,6,6,2,5,9,27500
"639",2270,"qinghai",3,2,34,1,1,1,4,1996,0,0,40,2008,8,6,2,5,9,6100
"644",2290,"qinghai",3,1,33,1,1,1,4,2003,0,0,40,NA,15,7,2,8,13,7400
"647",2300,"qinghai",2,1,NA,1,1,NA,1,1978,0,0,40,1978,17,1,4,9,13,51107
"649",2310,"qinghai",3,1,49,1,1,NA,NA,1983,0,1,49,1983,8,NA,NA,8,12,NA
"650",2310,"qinghai",3,2,48,1,1,NA,NA,1983,0,0,35,1983,1,7,2,8,12,42540
"652",2320,"qinghai",2,1,NA,1,1,NA,4,1983,0,0,35,1983,17,7,2,8,12,47160
"653",2320,"qinghai",2,2,NA,1,1,NA,4,1984,0,0,35,1984,10,7,2,8,12,29162
