"","qumn","province","nhh","a4","a5","a6","MajMin","a9_1","a10","b2","Unemp","EmptType","b4_2","b5","b7","b10","b12","c11_1","c12","pa151"
"2343",23030,"yunnan",8,1,56,1,0,2,4,1973,0,1,50,2009,9,NA,NA,4,5,NA
"2345",23030,"yunnan",8,1,30,1,0,2,4,2009,0,0,78,2009,9,5,NA,5,9,4800
"2346",23030,"yunnan",8,1,27,1,0,2,4,2004,0,0,78,2009,9,5,NA,5,9,4800
"2347",23030,"yunnan",8,1,25,2,0,2,4,2001,0,0,72,2009,9,5,NA,5,9,4800
"2349",23030,"yunnan",8,2,26,1,0,2,4,2009,0,0,40,2009,9,5,NA,5,9,2400
"2350",23030,"yunnan",8,2,25,1,0,2,4,2009,0,0,40,2009,9,5,NA,5,9,2400
"2351",23040,"yunnan",3,1,49,1,0,1,4,1983,0,0,46,1983,16,1,4,8,13,37200
"2352",23040,"yunnan",3,2,48,1,0,1,4,1983,0,0,45,1983,15,5,5,6,10,21600
"2354",23050,"yunnan",4,1,42,1,0,1,4,1987,0,1,53,2009,8,NA,NA,5,8,NA
"2355",23050,"yunnan",4,2,37,1,0,1,4,1992,0,0,50,2009,8,6,1,5,8,5000
"2358",23060,"yunnan",2,2,43,3,0,1,4,1988,0,0,48,2004,10,3,7,10,10,30000
"2359",23060,"yunnan",2,1,17,2,0,1,4,NA,0,NA,NA,NA,NA,NA,NA,8,11,NA
"2360",23070,"yunnan",3,1,44,1,1,1,1,1985,0,0,40,1986,8,5,4,10,10,53000
"2361",23070,"yunnan",3,2,40,1,1,1,1,1986,0,0,40,1986,17,1,7,10,11,58000
"2363",23080,"yunnan",3,1,45,1,1,1,1,1987,0,0,40,1987,19,4,3,10,10,52000
"2364",23080,"yunnan",3,2,42,1,1,1,1,1989,0,0,40,1989,16,1,2,10,11,40000
"2366",23090,"yunnan",3,1,39,1,NA,1,4,1996,0,1,60,1996,8,NA,NA,6,12,NA
"2367",23090,"yunnan",3,2,35,1,NA,1,4,1998,0,0,48,1998,8,6,2,6,12,NA
"2369",23100,"yunnan",2,1,50,1,0,NA,4,1983,0,0,40,1988,8,1,2,10,8,14000
"2370",23100,"yunnan",2,2,48,1,0,NA,4,1983,0,0,40,1998,4,1,4,7,10,76000
"2371",23110,"yunnan",4,1,49,1,0,1,1,1982,0,0,40,2002,5,6,6,12,10,56000
"2372",23110,"yunnan",4,2,46,1,0,1,1,1985,0,0,40,1985,19,1,6,12,10,36000
"2375",23120,"yunnan",3,1,48,1,1,1,1,1984,0,0,40,2003,4,7,5,10,10,203500
"2376",23120,"yunnan",3,2,44,1,1,1,4,1985,0,0,40,1985,19,1,2,10,10,50000
"2378",23130,"yunnan",3,1,44,1,1,1,4,1989,0,0,40,1989,13,1,2,6,10,80000
"2381",23140,"yunnan",4,1,35,1,1,1,4,1902,0,0,40,2002,12,5,1,10,10,80000
"2382",23140,"yunnan",4,2,32,1,1,1,4,1998,0,0,40,2010,16,4,2,10,8,26400
"2383",23140,"yunnan",4,2,60,4,1,2,4,1967,0,0,20,2010,19,6,2,1,NA,13200
"2385",23150,"yunnan",4,1,43,1,1,1,1,1992,0,0,40,1992,16,1,3,11,14,40800
"2386",23150,"yunnan",4,2,43,1,1,1,1,1992,0,0,40,1997,4,7,5,11,14,74000
"2389",23160,"yunnan",3,1,34,1,1,1,1,1998,0,0,40,1998,19,1,3,10,12,36000
"2390",23160,"yunnan",3,2,29,1,1,1,1,2004,0,0,35,2006,16,4,2,11,16,25000
"2392",23170,"yunnan",3,1,37,1,0,2,4,1997,0,0,56,1997,5,6,1,5,9,15000
